name,latitude,longitude,keyword_1,count_1,keyword_2,count_2,keyword_3,count_3
New York,40.7128,-74.006,paint,38.0,sculptur,26.0,photograph,17.0
Los Angeles,34.0549,-118.2426,contemporary,16.0,garden,10.0,wood,9.0
Chicago,41.8781,-87.6298,paint,58.0,contemporary,27.0,mural,14.0
Phoenix,33.4484,-112.074,contemporary,21.0,paint,15.0,garden,10.0
Houston,29.7604,-95.3698,design,35.0,contemporary,25.0,photograph,17.0
San Antonio,29.4252,-98.4946,contemporary,24.0,glass,7.0,sculptur,7.0
San Diego,32.7157,-117.1611,photograph,17.0,paint,16.0,contemporary,16.0
Philadelphia,39.9526,-75.1652,paint,12.0,wood,12.0,print,10.0
Dallas,32.7767,-96.797,festival,19.0,wood,18.0,fair,16.0
Austin,30.2672,-97.7431,sculptur,17.0,photograph,8.0,contemporary,7.0
Indianapolis,39.7684,-86.1581,design,2.0,contemporary,1.0,garden,1.0
Seattle,47.6061,-122.3328,festival,7.0,20th century,3.0,immers,3.0
Denver,39.7392,-104.9903,paint,30.0,design,18.0,contemporary,16.0
San Francisco,37.7749,-122.4194,paint,23.0,fair,11.0,design,5.0
Oklahoma City,35.4676,-97.5164,contemporary,10.0,digital,10.0,immers,8.0
DC,38.9072,-77.0369,portrait,17.0,paint,12.0,photograph,11.0
Nashville,36.1627,-86.7816,paint,18.0,contemporary,12.0,wood,12.0
El Paso,31.7619,-106.485,paint,17.0,contemporary,13.0,glass,7.0
Las Vegas,36.1716,-115.1391,immers,13.0,fine art,9.0,interactiv,9.0
Boston,42.3601,-71.0589,paint,10.0,photograph,10.0,draw,8.0
Fort Worth,32.7555,-97.3308,paint,22.0,wood,21.0,design,20.0
Jacksonville,30.3322,-81.6557,paint,44.0,photograph,23.0,sculptur,19.0
Columbus,32.461,-84.9877,visual art,8.0,paint,8.0,contemporary,6.0
Charlotte,35.2271,-80.8431,mural,16.0,paint,11.0,design,7.0
San Jose,37.3387,-121.8853,paint,3.0,folk,3.0,draw,2.0
Louisville,38.2527,-85.7585,contemporary,9.0,paint,7.0,fine art,6.0
Portland,45.5152,-122.6784,contemporary,32.0,paint,16.0,visual art,13.0
Memphis,35.1495,-90.049,garden,19.0,paint,7.0,mural,6.0
Detroit,42.3314,-83.0458,contemporary,10.0,paint,5.0,design,3.0
Baltimore,39.2904,-76.6122,contemporary,28.0,fair,10.0,sculptur,7.0
Milwaukee,43.0389,-87.9065,visual art,4.0,contemporary,4.0,fine art,2.0
Albuquerque,35.0844,-106.6504,photograph,15.0,paint,8.0,contemporary,4.0
Sacramento,38.5816,-121.4944,modern,5.0,draw,3.0,paint,3.0
Fresno,36.7378,-119.7871,photograph,6.0,paint,3.0,portrait,2.0
Tucson,32.254,-110.9742,sculptur,23.0,mural,14.0,garden,10.0
Atlanta,33.7488,-84.3877,contemporary,20.0,fine art,12.0,paint,10.0
Kansas City,39.0997,-94.5786,contemporary,19.0,paint,13.0,visual art,5.0
Mesa,33.4152,-111.8315,wood,14.0,sculptur,14.0,garden,11.0
Colorado Springs,38.8339,-104.8214,wood,10.0,paint,4.0,fine art,3.0
Omaha,41.2565,-95.9345,contemporary,9.0,garden,5.0,visual art,2.0
New Orleans,29.9511,-90.0715,sculptur,15.0,photograph,13.0,garden,11.0
Cleveland,41.4993,-81.6944,contemporary,15.0,sculptur,13.0,paint,6.0
Arlington,32.7357,-97.1081,fair,5.0,contemporary,4.0,visual art,3.0
Aurora,39.7294,-104.8319,sculptur,8.0,design,5.0,illustrat,3.0
Anaheim,33.8366,-117.9143,paint,9.0,photograph,9.0,digital,5.0
Virginia Beach,36.8516,-75.9792,paint,8.0,sculptur,7.0,design,6.0
Miami,25.7617,-80.1918,contemporary,11.0,paint,8.0,print,6.0
Raleigh,35.7796,-78.6382,festival,15.0,craft,12.0,paint,9.0
Oakland,37.8044,-122.2712,contemporary,3.0,design,2.0,garden,2.0
Long Beach,33.7701,-118.1937,paint,33.0,contemporary,12.0,garden,8.0
Stockton,37.9577,-121.2908,paint,7.0,fine art,4.0,craft,4.0
Riverside,33.9806,-117.3755,paint,9.0,photograph,8.0,print,7.0
Honolulu,21.3099,-157.8581,contemporary,12.0,paint,11.0,craft,5.0
Lexington,38.0406,-84.5037,festival,19.0,craft,7.0,contemporary,7.0
Henderson,36.0395,-114.9817,festival,2.0,paint,1.0,visual art,0.0
Paul,44.9537,-93.09,design,5.0,draw,3.0,digital,2.0
Pittsburgh,40.4406,-79.9959,photograph,19.0,contemporary,13.0,wood,9.0
Newark,40.7357,-74.1724,festival,40.0,print,4.0,sculptur,4.0
Greensboro,36.0726,-79.792,visual art,6.0,modern,5.0,garden,4.0
Lincoln,40.8136,-96.7026,sculptur,30.0,garden,23.0,mural,7.0
Minneapolis,44.9778,-93.265,sculptur,17.0,paint,13.0,garden,11.0
Tulsa,36.154,-95.9928,contemporary,13.0,paint,11.0,wood,8.0
Bakersfield,35.3733,-119.0187,draw,4.0,paint,3.0,photograph,3.0
Tampa,27.9517,-82.4588,photograph,11.0,glass,11.0,contemporary,10.0
Wichita,37.6872,-97.3301,glass,17.0,festival,13.0,photograph,10.0
Corpus Christi,27.8006,-97.3964,mural,16.0,paint,6.0,design,5.0
Orlando,28.5384,-81.3789,contemporary,5.0,photograph,5.0,digital,4.0
Cincinnati,39.1031,-84.512,contemporary,16.0,visual art,9.0,photograph,8.0
Santa Ana,33.7455,-117.8677,festival,24.0,contemporary,6.0,garden,6.0
Irvine,33.6846,-117.8265,paint,3.0,contemporary,3.0,interactiv,3.0
Irving,32.814,-96.9489,sculptur,8.0,garden,7.0,festival,4.0
St. Pete,27.7671,-82.6384,glass,34.0,craft,22.0,mural,18.0
Chesapeake,36.7682,-76.2875,craft,21.0,festival,14.0,paint,7.0
Laredo,27.5036,-99.5076,garden,15.0,design,7.0,craft,6.0
Glendale,33.5387,-112.186,garden,3.0,festival,2.0,immers,2.0
Chula Vista,32.6401,-117.0842,design,2.0,garden,2.0,fine art,1.0
Chandler,33.3062,-111.8413,print,4.0,design,3.0,photograph,3.0
Vegas,36.1989,-115.1175,mural,7.0,immers,7.0,fine art,6.0
Buffalo,42.8864,-78.8784,paint,10.0,digital,10.0,wood,9.0
Gilbert,33.3528,-111.789,photograph,19.0,contemporary,4.0,print,3.0
Winston-Salem,36.0999,-80.2442,craft,20.0,paint,15.0,contemporary,15.0
